id,Nama Restoran,Preferensi Makanan,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Jenis Suasana,Variasi Makanan
166,"BOX MIE, Monjali",Japanese,24000,4.7,Santai,"Japanese, Noodles, Korean"
167,"Warung Makan Tokyo, Titik Maps Sabi Jogja",Japanese,17000,4.2,Santai,"Rice, Japanese, Seafood"
168,"East Pork - #1 Sei Babi Kupang In Jogja, Ampel",Western,30000,4.7,Santai,"Rice, Western, Sate"
169,"Kebab Jawa, Sorogenen",Western,18000,4.5,Santai,Western
170,"Iten Kitchen, PazelKitchen Sudirman",Western,26000,4.2,Formal,"Western, Pizza & pasta"
171,Warung Toscana,Western,69000,4.6,Santai,"Western, Pizza & pasta"
172,"Kedai Zu Pa ( Zuppa Soup & Pasta ) Kotabaru, Juadi",Western,21000,4.7,Santai,"Western, Snacks, Pizza & pasta"
173,NABE COFFEE Soragan,Japanese,36000,4.8,Santai,"Bakery, Japanese, Coffee"
174,"Mie Jakarta Express, Galeria Mall",Chinese,48000,4.6,Santai,"Bakmie, Seafood, Chinese"
175,Soto Ayam Pak Satar,Indonesia,13000,4.5,Santai,Bakso & soto
176,"Mie Ayam Sae Raos, Jl Sidikan No. 71 Sorosutan",Indonesia,14000,4.2,Santai,"Bakso & soto, Bakmie"
177,"Happy Juice & Soto Padang, Umbulharjo",Indonesia,18000,4.5,Santai,"Bakso & soto, Minuman"
178,"Cerenti Restaurant, Hotel Grand Zuri",Western,66000,4.6,Formal,"Barat, Pizza & pasta, Aneka nasi, Chinese"
179,"Sushi Tei, Komplek Colombo",Japanese,100000,4.7,Formal,"Beverages, Seafood, Japanese"
180,"Bubur Ayam Kampung Hawila, Timoho",Chinese,25000,4.5,Santai,"Cepat saji, Chinese, Aneka nasi"
181,"Nasi Ayam d' Katsu, Rejodadi Sidorejo",Japanese,38000,4.7,Santai,"Chicken & duck, Japanese, Rice"
182,Kedai Liang Xin,Chinese,22000,4.7,Santai,"Chinese, Japanese"
183,"My Kopi-O! Indonesian Bistro, Sagan",Western,51000,4.8,Santai,"Coffee, Snacks, Western"
184,"Gokana Ramen & Teppan, Pakuwon Mall Jogja",Japanese,55000,4.5,Formal,"Japanese, Rice"
185,"Katsukai, Selokan Mataram",Japanese,37000,4.1,Santai,"Japanese, Rice"
186,"Kalluna, Kotabaru",Western,60000,4.7,Santai,"Rice, Chicken & duck, Western"
187,"Daruma Donburi, Mlati, Sinduadi",Japanese,35000,4.0,Santai,"Rice, Japanese"
188,"Sabi Jogja, Caturtunggal",Japanese,49000,4.5,Santai,"Sate, Rice, Japanese"
189,"Brick Pastrami Burger, Kuliner Lor Tugu",Western,44000,4.5,Santai,Western
190,"Burger Bros, Mergangsan",Western,40000,4.7,Santai,Western
191,"Lawang Resto, Yellow Star Ambarrukmo Hotel",Western,28000,3.9,Santai,Western
192,"Waroeng Steak and Shake, HOS Cokroaminoto",Western,40000,4.7,Santai,Western
193,"Kebab Turki Baba Rafi, Tegalrejo",Western,38000,4.0,Santai,"Western, Middle Eastern, Snacks"
194,"Madam Tan Indonesian Food, Gondokusuman",Western,30000,4.6,Santai,"Western, Pizza & pasta, Noodles, Seafood"
195,"Yamie Panda, Jalan Solo",Chinese,28000,4.7,Santai,"Chinese, Bakmie"
196,Soto Lamongan Cak Mangku,Indonesia,18000,4.6,Santai,Bakso & soto
197,"Soto Bu Kamto, Umbulharjo",Indonesia,15000,4.4,Santai,"Bakso & soto, Aneka nasi, Ayam & bebek"
198,Bakso Ceker Mercon dan Penyetan Mayang Sidikan,Indonesia,18000,4.0,Santai,"Bakso & soto, Aneka nasi, Korea"
199,"Mie Ayam & Bakso Idolaku Pak Tikno, Tamansiswa",Indonesia,30000,4.7,Santai,"Bakso & soto, Bakmie"
200,"Soto Daging Sapi Lamongan Cak Sodik, Jl Veteran,umbuhalrjo",Indonesia,22000,4.4,Santai,"Bakso & soto, Minuman, Cepat saji"
